priods,priods_date,title,works_date,author,view_counts,like,bullet_screen_counts,video_label,video_link
5,1555603200,大碗宽面（动画版）- 吴亦凡,1555643271,大家的音乐姬,12601490,710227,173127,官方玩梗最为致命，结尾高能千万别错过。本歌已加入我的单曲循环列表！ ,https://b23.tv/BV1Hb411L71C
5,1555603200,papi酱读书日特别篇——荒诞派戏剧四部,1555927237,papi酱,2128402,92328,19515,读书最重要的是兴趣和热情，如果这四部作品勾起了你的好奇心，不妨去试着读一读吧。,https://b23.tv/BV1qb41137gd
5,1555603200,[LPL春季赛] 4月21日 IG vs JDG,1555835021,哔哩哔哩英雄联盟赛事,3549237,41013,74268,恭喜IG！在经历了13个赛季的蛰伏之后，终于等来了自己的首个LPL联赛冠军！,https://b23.tv/BV1wb41157jT
5,1555603200,日语版《绿色》好听爆哭预警！！超火神曲秒变日剧主题歌awsl？！,1555669221,O2O男团,2411565,80736,16204,美少年音演绎最新热曲，日语填词和翻唱都很棒，收藏了！,https://b23.tv/BV15b411L7rX
5,1555603200,如果把《西游记后传》去掉回放，它还好不好看？,1555985041,神烦XP,2367610,93867,13519,一部被鬼畜光芒掩盖的童年经典电视剧，剧情和人设放在今天依然创意十足,https://b23.tv/BV1Vb411G7mq
5,1555603200,【老徐的奇妙冒险】只狼真好玩嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿！,1555745818,靠脸吃饭的徐大王,2277568,146587,9343,徐老师亲身示范如何把《只狼》玩成一款搞笑游戏。逃课有风险，打铁需谨慎。,https://b23.tv/BV1Vb411V7F9
5,1555603200,如何5秒钟把一首歌变土,1555577527,朴冉,7207783,335181,35769,优秀的调音师不仅能化腐朽为神奇，更能瞬间把歌变土。你学会了吗？,https://b23.tv/BV1Sb41157BK
5,1555603200,立体雨伞如何折？简单易学还可以收缩，一步一步教你,1555893258,手工小匠,1141416,93873,4904,“一看就会，一做就废”说的就是我这种人吧。还是看别人做手工赏心悦目啊！,https://b23.tv/BV1kb41137ty
5,1555603200,童年最变态游戏关 12年前劝退无数玩家的噩梦！,1555614641,神秘店长A,2177665,69351,14196,小时候打不过的游戏，现在依然打不过去。这才是最悲催的事情吧_(:3」∠)_,https://b23.tv/BV1Kb411L79v
5,1555603200,日本宝矿力校园爆燃CM一镜到底广告《宝矿力蓝色之舞 灵魂的呐喊》！,1555906781,瘫倒的Aqua,3040782,145325,5093,让人看上瘾的超强创意广告。一镜到底震撼力十足，精彩程度堪比MV。,https://b23.tv/BV1vb41137R5
6,1556208000,国产最沙雕的真人版只狼！,1556535652,森纳映画,3396492,209201,14050,原本以为是硬核拍摄，点开一看过于沙雕！实在是高成本大制作啊哈哈（狗头）,https://b23.tv/BV1w441187oh
6,1556208000,【种族天赋】当丈夫回家遇见老婆和她的男朋友,1556656090,伊丽莎白鼠,5866227,295677,27105,失踪人口回归！打开洗脑循环ing,https://b23.tv/BV1t4411t7C8
6,1556208000,沙雕至极！这动画承包了我今年全部的笑点！,1556441006,LexBurner,6859784,361009,55002,19年开年烂番：女主笑容的代价，原来是观众们悔恨的泪水啊！,https://b23.tv/BV1y4411b7WX
6,1556208000,钢铁侠始，钢铁侠终！爱你三千遍！十年终落幕，无悔入漫威！,1556019728,战场ヶ原-,4701582,241091,23745,血肉之躯，钢铁之心，以人之力，脚踏神明！,https://b23.tv/BV1jb411G7Ks
6,1556208000,竟有两个美队？完全理清《复联4》时间线，搞懂这部电影！（含剧透）,1556369857,努力的Lorre,1673262,55315,15406,剧透慎入！看完首映的你，在二刷前一定需要先看这个视频！,https://b23.tv/BV1s4411b7Qx
6,1556208000,【咬人猫】勾指起誓❤️ 初次自唱跳~原创舞蹈o(*≧▽≦)ツ,1556424324,=咬人猫=,6715107,222018,16991,喵酱.......也太美了吧 (੭*´ᐜ`)੭,https://b23.tv/BV1s4411h7ou
6,1556208000,【老番茄】史上最骚杀手(第五集),1556034813,老番茄,14664063,773075,68140,C菌友情客串配音。最后一季，太不舍了！,https://b23.tv/BV1ab411G7Rs
6,1556208000,B站宝贝,1556337326,异次元臭豆腐,5853950,425290,26194,弹幕大型玩梗现场。火钳刘明！,https://b23.tv/BV1B4411h7LY
6,1556208000,如何用一只猫来制作音乐,1555804567,黄布林布林,674707,87447,7178,UP主如果你被猫绑架挟持了就眨眨眼，我们好去救你……,https://b23.tv/BV1vb411V7Qc
6,1556208000,【敖厂长】难度超变态的沙雕游戏,1556467222,敖厂长,4245671,176512,18617,众所周知，玩沙雕游戏的人最终都会变成沙雕……,https://b23.tv/BV1v4411h7ya
6,1556208000,《火影忍者博人传》沙画动画极限2000幅，沙子绘制的动画效果炸裂堪比原作！,1556053438,玉译沙画工作室,1308710,265341,11201,惊了！这真的是用沙子画的嘛？！神仙画神仙打架！,https://b23.tv/BV1eb411G7EV
6,1556208000,【党妹】LolitaFashion|128块就能买到神仙lo裙？7条白菜Lo裙开箱测评，下水道女孩也要一样可可爱爱！,1556543376,机智的党妹,2940333,235510,43444,平价LO裙，瞬间真香。党妹真是太好看了！爱了！,https://b23.tv/BV1y441147CG
6,1556208000,《纸人》猎奇文化向解说01丨乌盆记.,1556427650,小熊flippy,1377876,111490,39829,妈妈，我居然在恐怖游戏里面学习历史和语文_(:3」∠)_,https://b23.tv/BV1q4411b7rD
6,1556208000,华农兄弟：出生20多天的小狗会走了，肥嘟嘟的，带它们晒晒太阳,1556595615,华农兄弟,2315877,77068,25432,点击就看，超萌奶狗！中华田园狗真的好可爱！,https://b23.tv/BV1B441147XL
7,1556812800,电影《大侦探皮卡丘》玩整版1080P,1557295814,哔哩哔哩游戏中心,15909043,685773,162084,电影全程无尿点，剧情出乎意料，看完就是赚到！,https://b23.tv/BV1J4411v7cK
7,1556812800,某大学生穿上高中校服偷偷溜进高三某班，会发生什么？（差点被班主任赶出去）,1556699393,拉宏桑,3916208,162696,29143,很多人都幻想过这么做吧，高中时光虽然短暂，却是一段最难忘的回忆。,https://b23.tv/BV1v4411t7h5
7,1556812800,【真人版 ▪ 铁锤爬山】地狱级挑战，真的能成功登顶吗!!?,1556958185,J-Bao頻道,2526165,269649,11765,大庭广众之下体验真人版掘地求生，UP主我欣赏你的勇气和...体力。,https://b23.tv/BV1Z4411v78J
7,1556812800,《蜘蛛侠：英雄远征》超级预告惊爆来袭！延续复联燃战今夏！,1557151044,鲲鹏万里-漫威加载中,2065161,53407,3858,复联4并非漫威电影宇宙的终点，今年夏天我们电影院见！,https://b23.tv/BV1H4411e77i
7,1556812800,我连一秒都没有拥有过她，却感觉失去过她千万次。,1556787406,永远的我的鸟笼Me,14868570,756602,140694,MAD之所以吸引人，是因为能够让观众产生共鸣。视频传达出的情感，你感受到了吗？,https://b23.tv/BV184411x7uq
7,1556812800,什么鬼套路：LOL史上最莽套路 冰火九重天！！！,1557309703,点滴菌,4495308,242312,24077,在罗老师的新套路面前，对面心态又一次崩了。有脑子的莽夫果然最可怕。,https://b23.tv/BV154411v7Gg
7,1556812800,一个高中生的无聊成果（5），火柴人,1556625632,小徐春风润物,1583512,207428,2896,课本上的小人都谁画过，但要做成翻页动画就另当别论了。这打斗场面，是大片的感觉！,https://b23.tv/BV1V4411t7eY
7,1556812800,来自沙雕室友的神奇电话 我笑哭了,1556614506,chshh,10323264,511778,32302,万万没想到童年的动画角色居然在B站对唱金曲，这同步率是怎么回事？,https://b23.tv/BV16441147Qx
7,1556812800,给女朋友看自己的手办会被揍吗!?,1556885201,真田康康君,1008019,18632,3123,你以为是炫富，其实是秀恩爱哒！请妹子下次下手重一点，谢谢。,https://b23.tv/BV1s441147kB
7,1556812800,高铁商务座和普通座到底什么区别，一节车厢竟只有5个座位，太爽,1557051611,翔翔大作战,2174987,42574,10296,比飞机还贵的高铁商务座长什么样？跟着翔哥体验一把土豪的感觉。,https://b23.tv/BV1x4411i7cK
7,1556812800,妈妈问我lemon用中文怎么唱,1556786219,梅尼耶大师,1582318,76460,7037,又搞笑又好听的翻唱，清嗓之后的声音判若两人，关注了！,https://b23.tv/BV184411x7Km
7,1556812800,漫威十年，I AM IRONMAN,1556799805,努力的Lorre,1726920,113945,14718,漫威十年自他而始，由他而终。钢铁侠或许已经谢幕，但他的传奇还在继续。,https://b23.tv/BV114411x7kq
7,1556812800,【全明星】Counting Stars,1557194437,柴可夫司徒,2689171,238400,19826,全明星系列新曲，吹爆填词和调音。拔剑吧，音乐区！,https://b23.tv/BV1H4411e7xa
7,1556812800,腾讯天美手游《见》口碑爆炸 玩家：感动哭了,1556697575,独立菌儿,4021356,264882,14954,在游戏里体验视障人士的日常出行，你就会明白他们的生活有多么不易。,https://b23.tv/BV1h4411t7dW
8,1557417600,世上有几人能活到这短片结束？,1557476507,尽整没用的,22306580,1295662,517010,哀吾生之须臾，羡长江之无穷。你可曾想象过人类消失后的宇宙会是什么样？,https://b23.tv/BV1z4411Y7tX
8,1557417600,大碗宽面（Live）- 吴亦凡,1557734602,大家的音乐姬,5377228,211045,37893,没人能够把你定义，快乐才是真谛！结尾高能超级好评。,https://b23.tv/BV1h4411a7F9
8,1557417600,前方高能！来自雨天的盛宴，极致画质的巅峰，请备好你的硬币,1557626808,雪莱咚,4051958,248187,8179,淅淅沥沥的雨点总是让人思绪万千，一起来感受只属于雨天的美好吧。,https://b23.tv/BV1Z4411h7bf
8,1557417600,教你控制自己的梦，你可以无所不能，《盗梦空间》现实版【捕月说26期】,1557556241,捕月说,2761850,121025,29436,时至今日，人类对梦的了解仍然很少。你也曾有过清醒梦的体验吗？,https://b23.tv/BV134411e73m
8,1557417600,【治愈/萌/看完要超开心哦！】不要忧虑，要开心！【1080p/混剪】,1557816117,白日妄想家,1694805,112486,3007,这些年的影视萌物角色大集结，总有一个能够俘获你的心。,https://b23.tv/BV1k4411E7eV
8,1557417600,【C菌】资深女玩家的高科技游戏公寓！,1557482703,渗透之C君,2290471,168320,20256,科技风满满的游戏快乐屋，看完之后从心底发出了羡慕的声音。,https://b23.tv/BV1M4411Y78W
8,1557417600,被罚抄一百遍课文，这支笔一秒就可以写完！？,1557479153,贤宝宝Baby,1356292,43121,2550,学生党的罚抄神器终于出现了，但是首先你要有一个超大作业本才行啊喂。,https://b23.tv/BV164411Y7uC
8,1557417600,【Aliga】人工智能爱酱❤️AIAIAI❤️一次满足你三个愿望,1557252463,矮乐多Aliga,3028499,120011,7331,三个爱酱三倍可爱，那么问题来了：你最喜欢哪一只呢？,https://b23.tv/BV1M4411v7WP
8,1557417600,华农兄弟：突然想吃粽子，摘点粽叶，抓只竹鼠，包竹鼠味的粽子,1557959448,华农兄弟,3136014,111236,55294,竹鼠的一万种吃（si）法又更新了，提前预祝大家端午节快乐！,https://b23.tv/BV1n4411J7LS
8,1557417600,【英语高能RAP】你从未看过的家有儿女英文版 !,1557581493,一鸣の,799797,52907,2245,我怀疑UP主英语是散装的，而且证据确凿。前排坐等大佬的翻唱。,https://b23.tv/BV1L4411e72s
8,1557417600,【敖厂长】云玩家在伤害游戏?,1557978427,敖厂长,3621533,168784,18260,比起“云玩家”，不负责任的言行或许才是伤害游戏的真正元凶。,https://b23.tv/BV1e4411J736
8,1557417600,【木鱼微剧场】超级英雄的巅峰之作，诺兰《蝙蝠侠：黑暗骑士》（Re:C）,1557884907,木鱼水心,1985680,80108,18336,这不仅是一部伟大的超级英雄电影，更是一部伟大的电影。,https://b23.tv/BV1d4411E7xr
8,1557417600,教你用最简单的做法烹饪出最好吃的小龙虾！,1557828048,大祥哥来了,2185059,71086,10784,天气逐渐转热，又到了小龙虾横行的季节，安利一个适合懒人的家常做法。,https://b23.tv/BV1k4411a7be
8,1557417600,800气球！这次，我真的送猫上天了！,1557476736,喵来啦_,2218030,192523,10324,快看，天上有只猫在飘！从此以后你就是一只上过天的橘猫啦。,https://b23.tv/BV1z4411Y7zA
8,1557417600,[MSI季中冠军赛]5月11日 IG vs SKT,1557580741,哔哩哔哩英雄联盟赛事,4192815,72906,70803,新纪录！16分钟！恭喜iG打破英雄联盟世界赛史上最快对局纪录！,https://b23.tv/BV1L4411e769
9,1558022400,【敖厂长】做一部恰饭视频能挣多少钱,1558583223,敖厂长,5714499,189918,22625,在大部分人不屑一顾的时候，他却把制作游戏视频当作人生梦想，并且坚持到了今天。,https://b23.tv/BV1u4411L7ha
9,1558022400,最强催泪：人，为什么要努力,1558106121,布兜大师,8320182,327443,49762,为梦想奋斗的日子是人生最美妙的回忆。,https://b23.tv/BV1r4411776v
9,1558022400,信誓蛋蛋澳大利亚极限求生预告片,1558429242,信誓蛋蛋,2345322,169603,14868,生活无限精彩，为梦想挑战极限。,https://b23.tv/BV1A441177Eu
9,1558022400,【新闻联播】华为绝地反击 中国居安思危,1558270721,共青团中央,2598236,104265,21967, 成功属于有梦想的人，而机会永远属于有准备的人。,https://b23.tv/BV1g4411j7cd
9,1558022400,衡水中学“学霸”励志演讲：这世间，唯有青春与梦想不可辜负,1558322927,教育思享,14345535,806083,139915,人间值得，未来可期。,https://b23.tv/BV1j4411j79x
9,1558022400,【B站全明星给你加高考高分buff】Wish you（KB/三无/茶理理/哦漏/萧忆情/西瓜/hanser/小缘/双笙/少恭/YUKIri/菠萝）,1557920425,KBShinya,1588583,134342,30881,祝所有高考党都能如愿所偿！,https://b23.tv/BV1T4411J7Yb
9,1558022400,一阶魔方复原教程！居然那么难！,1558233372,霸气的小猪Nong,4452143,164613,23212,一阶魔方大师现场炫技。,https://b23.tv/BV154411E7B4
9,1558022400,【高能RAP】把沙雕广告们聚在一起会变成什么奇妙的东西？,1557987849,一咸菊菊,7227805,675644,21407,这一刻，人们回想起曾经被电视广告支配的恐惧。三遍过后再也想不起原版台词是什么了。,https://b23.tv/BV1t4411J7Z5
9,1558022400,前方高帅！立体机动带来的畅快视觉盛宴！,1558016802,战场ヶ原-,6114441,345120,26346,满屏的经费在燃烧，N刷预定。,https://b23.tv/BV1Q4411J7oR
9,1558022400,对不起，对不起，乖乖！饲养员也慌了，连忙道歉,1558245923,pandapia,6818171,234301,6046,恭喜熊猫成功解锁傲娇属性。,https://b23.tv/BV1s4411a7er
9,1558022400,【某幻】妈的，学校全是神经病,1558092812,某幻君,2773414,176834,21454,神经病系列再次回归，这个学校大有问题！,https://b23.tv/BV1Y44117782
